File.accession,File.format,File.type,File.format.type,Output.type,File.assembly,Experiment.accession,Biosample.term.name,Experiment.target,Size,md5sum,peaks_count_raw,peaks_count_run
ENCFF164JZB,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR633OVO,HepG2,RFX3-human,100014,fbdcc2b92b25d089312acf42c219e4c2,5766,5766
ENCFF567QWP,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR435ARI,HepG2,FOXM1-human,50001,72bdb5c52d3c45bed9aaa9dd7d77dd06,2568,2568
ENCFF522LHU,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR908HWZ,HepG2,ATF2-human,401524,719b873ce29280a5ea1b3af2392ab1f8,23803,23803
ENCFF428ZPS,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR532WFC,HepG2,ZBTB14-human,181793,c3f4d96b57a133fa58dfdfe960529aea,9836,9836
ENCFF467WXB,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR107DKT,HepG2,SP140L-human,120861,71cd8702b25a11307cb7fa092a3e580e,6801,6801
ENCFF931JDS,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR474YDA,HepG2,YEATS4-human,541178,989e8f65ee3a875274d17a4537de144f,30075,30075
ENCFF930FAL,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR931SYA,HepG2,ZBTB46-human,101412,1b26b4973871868ddbe7d078ae2d2bee,5258,5258
ENCFF827LSX,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR271XMW,HepG2,EP300-human,301984,d060f9ae33e4baf741c793eedbd0a8ce,17660,17660
ENCFF588WBI,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR794LVK,HepG2,ARNTL-human,358704,48aed658ee967fa3639f49ca1ed0a49d,20370,20370
ENCFF445FCL,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR621PAN,HepG2,HINFP-human,249224,c3b28b5488f14d064183f2ee11ceb979,14262,14262
ENCFF440ODC,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR395MHA,HepG2,BRD4-human,275306,ff0ce9dbcaa9f8ceeea5f6ec7e63783f,15401,15401
ENCFF669TCB,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR553QMC,HepG2,ZNF7-human,140681,24f4523fef535a12bbd3ed32b493ca1c,8200,8200
ENCFF340VOQ,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR069JKP,HepG2,TFDP2-human,384141,d7cd0342b0b4685e12016872c11a9186,22521,22521
ENCFF237AST,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR110BYN,HepG2,ZNF33A-human,111479,9f874df2df71adad67f1cbe422f096d2,5718,5718
ENCFF477OUI,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR730DZO,HepG2,ARID5B-human,991557,bd77dae3ab8ddaf2d372f63c606963dc,58725,58725
ENCFF708ZFL,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR243BPI,HepG2,ZNF219-human,764833,8160bebc6aed781945981a8a9c96cc86,45758,45758
ENCFF535BYF,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR436RQS,HepG2,ZNF577-human,39180,b1e899dbf02ff9fc92502f01810a66b7,1956,1956
ENCFF338YFQ,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR830FJY,HepG2,SOX18-human,146500,c3b15f3bae75e0c11d20e67ad8147da8,7581,7581
ENCFF189PKJ,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR882YYL,HepG2,ZNF883-human,311094,77f601cfbd114e75da0889b06c1dd80e,16470,16470
ENCFF645VCZ,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR839AJZ,HepG2,ZNF446-human,187945,a31a0e8f65df16cbdf68337634f79c05,9840,9840
ENCFF069YFV,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR565BVI,HepG2,NFAT5-human,161150,bbaad15426bedf3d396a5072eb8cac3d,9151,9151
ENCFF135VAJ,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR052FXA,HepG2,ZNF33B-human,205285,0c91bec62a0ecc7a484b97a7645e7b80,10717,10717
ENCFF480YAW,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR946RZN,HepG2,SP2-human,205721,d3abb79627fa320476d04bf9caf037c6,11301,11301
ENCFF105VCL,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR452YHM,HepG2,SIN3B-human,101716,fb4e121b6cb923d491660fb12a92a415,5716,5716
ENCFF333PIQ,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR660ENW,HepG2,CAMTA2-human,155654,668dfdaba0997ed7668d9c6917ab4491,8250,8250
ENCFF605GXY,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR603BJQ,HepG2,FOXK1-human,440573,af464b67e0350a8c234d1e5214ca38d3,26581,26581
ENCFF458AZS,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR145QNL,HepG2,USF2-human,229332,18d28a2d7b5dce72fcc0c796034cb92a,12474,12474
ENCFF458IBK,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR269MEF,HepG2,ZBTB44-human,96576,e53489ee14ae8b3054f64f26c645348d,5277,5277
ENCFF129SBX,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR529JYA,HepG2,HCFC1-human,109530,0165fd4d0d440a496e0403f45fb5bcc0,6429,6429
ENCFF810TWJ,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR493VBX,HepG2,ZSCAN31-human,394929,a6fd1e809a4e5464b685d9ba44e3f5d7,21566,21566
ENCFF475HLY,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR583KLD,HepG2,TEF-human,150294,667a8fd5d7c1bed2ccd93f9ff56f1aa4,7943,7943
ENCFF037ZMX,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR771GTF,HepG2,SUZ12-human,40324,14e49577067241952bdd15dca092ec37,2166,2166
ENCFF948XVV,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR799DUB,HepG2,IKZF4-human,186680,3eaaf662a612e23eeeb85ad29a3a8afe,9789,9789
ENCFF791UUM,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR428LOB,HepG2,ZZZ3-human,158736,7641d8084425861d08e8b8436ca42286,8531,8531
ENCFF645BZY,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR082QGT,HepG2,ZNF784-human,278982,103c962a841dea8bd1a61203bdd249aa,14698,14698
ENCFF684UHQ,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR601KKB,HepG2,HMGXB3-human,280754,4f003da6ea47cec9eebeb47b086ef3ed,16052,16052
ENCFF293NUD,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR157CAU,HepG2,ZKSCAN1-human,133649,4e99c0d5dadfc7da701f6a65f5bd1f0b,7156,7156
ENCFF810LSF,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR957FIZ,HepG2,UBTF-human,708290,1e53fcd71fc751308ac1e564602dc8a8,37951,37951
ENCFF028OBL,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000EDW,HepG2,SMC3-human,590548,8aca25a1d38db9cefa405678a87172b0,33574,33574
ENCFF260APL,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR171FUX,HepG2,FOXK2-human,159086,ddf7d58963587e5c6d4e624083b7fa61,9215,9215
ENCFF948RVA,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BMO,HepG2,FOXA1-human,872569,87a9b465042871f0196c509407c1bb44,49757,49757
ENCFF004QJZ,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR780OXL,HepG2,GMEB1-human,403170,14e578e13ce261abca36277fa19059de,21634,21634
ENCFF710TSK,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR036RHV,HepG2,SAFB2-human,218673,d538d5a35788e08003fe8e405bfec830,11918,11918
ENCFF349OOT,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR932ZRD,HepG2,ZBTB38-human,616629,2da3b3f0278175b60668c6f13f440ed1,35856,35856
ENCFF627DNU,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR720PDY,HepG2,ZNF20-human,91891,ee269ce8734fd4a72e2562cad672b972,4674,4674
ENCFF616FXO,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR436PIH,HepG2,ZNF483-human,305542,4b338b369d1b578473b953fe299d48cb,16927,16927
ENCFF963QEL,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR448RAP,HepG2,ZNF552-human,156249,78920efb61aed4509eb0f037e197c554,8370,8370
ENCFF902BKY,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BMC,HepG2,HDAC2-human,444558,b8658c9666aa4b2cdfd92baf69ca2fd0,26492,26492
ENCFF050KYT,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR801SNX,HepG2,ZNF512B-human,184681,73c04d88af7099cc98f5fe1c122b8f5c,9645,9645
ENCFF236CPT,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR048WVW,HepG2,ZNF367-human,89487,1659c386001bd29ef2805c96a03c2aae,4598,4598
