File.accession,File.format,File.type,File.format.type,Output.type,File.assembly,Experiment.accession,Biosample.term.name,Experiment.target,Size,md5sum,peaks_count_raw,peaks_count_run
ENCFF492ZRZ,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BGQ,GM12878,SPI1-human,701921,288fa23cf3b0750de688c0e51dc71dc5,44283,44283
ENCFF864AYJ,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR372GIN,GM12878,CBX5-human,285377,fcec4f86d5253813f2427b8ec99e2a95,15452,15452
ENCFF854NOE,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR117KWH,GM12878,ZNF207-human,200391,32505e6a67af2276e9f74c92acc18610,11253,11253
ENCFF627JQX,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR900XDB,GM12878,ZFP36-human,191611,8165c2b5217ec3b1f139b690912c4877,10431,10431
ENCFF006GSY,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BQZ,GM12878,STAT5A-human,153690,b5cba122ab663edf3b71b061768ec75b,7927,7927
ENCFF880BEK,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR691IQB,GM12878,ZBTB4-human,37615,2e1f61bb2faf1cc626bd648f8fb0d470,1922,1922
ENCFF937QTP,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000DNN,GM12878,NFYA-human,17933,2da4bf1a32c700d20bf803320c9d2986,984,984
ENCFF436SJS,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000DYV,GM12878,MAFK-human,135155,f6021852cedf049968eb0469a65a226a,7368,7368
ENCFF214XPD,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000DKU,GM12878,MYC-human,84936,0b7b6ca0d3c7f9e0a7c77a6ed0762c53,4950,4950
ENCFF955FRU,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000DYP,GM12878,ZNF384-human,269663,6e651f8d5f278787e71c84d1feee2d85,14893,14893
ENCFF700TAS,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BQT,GM12878,TCF3-human,306991,7a7c752dbcd858b11072a51beb444705,18872,18872
ENCFF896SEI,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000DZM,GM12878,STAT1-human,73807,508a5736089bed4cecb974c4085e5ddf,3763,3763
ENCFF633YUQ,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000DZJ,GM12878,BHLHE40-human,502289,83f8660a9ed7d3b129533a5e31b14d28,28651,28651
ENCFF014PHS,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR459FTB,GM12878,UBTF-human,24392,6fea328d2275b56553e29cf02026c995,1216,1216
ENCFF900GTF,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR501DKS,GM12878,TCF7-human,180118,5f5528baf6b3cc6da91d6ff83bed81d5,9675,9675
ENCFF294IGP,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR839XZU,GM12878,CREM-human,601360,a78cba019614d13d799b17b20acf28ec,33036,33036
ENCFF502IPK,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BGS,GM12878,TAF1-human,292189,94f59d1843f85d07290903fc9c460a2a,17473,17473
ENCFF878FBM,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BJE,GM12878,SIX5-human,95110,5b966933f42f20f2691a0f3974466f57,5477,5477
ENCFF012FCL,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000DZL,GM12878,ZNF143-human,719696,3415314067a642f6bf7b8af5e8bf67ee,42470,42470
ENCFF519BGX,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR637QAM,GM12878,TRIM22-human,309634,8e2876b846f859f13f9ef280155f9d0e,18007,18007
ENCFF535WUH,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000DNQ,GM12878,ZZZ3-human,12322,4bf4cba3a17cfe0e2f08f9a1edab14f2,623,623
ENCFF826GQU,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BKB,GM12878,MEF2A-human,375342,fb1433bbc2079461c39f0dbf9ac49192,22588,22588
ENCFF276QRH,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000DYZ,GM12878,TBL1XR1-human,232355,f899991da625b25066263850bea82697,13260,13260
ENCFF824QXX,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BHA,GM12878,BCL11A-human,354771,9905ff1b38514164e11357822c3a4f88,21232,21232
ENCFF475GKK,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BRH,GM12878,MTA3-human,269976,31bc6965af1756dc68d0c085acf9d909,14098,14098
ENCFF996NUD,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR391IWM,GM12878,KDM1A-human,9307,e37a53d8e3ae0e98b36b05c58b4132f8,526,526
ENCFF660PIB,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000DYQ,GM12878,ESRRA-human,82144,a1516c61ad08367f01fa3d4aaebab853,4228,4228
ENCFF262MRD,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BQS,GM12878,REST-human,113770,65617da324c39e7e0845e9f0236d9f8d,6119,6119
ENCFF837YJA,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000DZP,GM12878,SMC3-human,590144,2a28a7ccbb3b9461072b165af550d2bf,34390,34390
ENCFF053UZX,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BUF,GM12878,CREB1-human,463922,5e5c8ea6b01a985f3099781d262682cc,28276,28276
ENCFF581FMI,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR330OEO,GM12878,HDAC2-human,27564,9266ad57124419f5d37a8169f2c9dd82,1496,1496
ENCFF940IMA,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BMY,GM12878,RAD21-human,705418,05c03d927c1cc0646a8de45a8c8aad67,44515,44515
ENCFF156MUM,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000DNM,GM12878,NFYB-human,255552,0bfad0a02dc87b500dbac1d0e4daa305,14678,14678
ENCFF238UKB,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BNG,GM12878,MEF2C-human,207879,c8e12391d8f61ffedf573f36bcaa0da9,12003,12003
ENCFF361EVH,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000DZF,GM12878,MAX-human,239736,ad902946a10c59664a1bf80e3dd41821,13605,13605
ENCFF113VGD,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BGY,GM12878,IRF4-human,370488,4ba9d08ecd621659aae15735967dfd58,23043,23043
ENCFF753HYW,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000DZE,GM12878,CHD1-human,110499,5adc0e6ab95b84d194f0d5a4dbe97204,5674,5674
ENCFF549GKZ,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BRU,GM12878,FOXM1-human,410735,3c5a9a4cce0a00136771bbbedc9068ce,22380,22380
ENCFF196JQW,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000DZU,GM12878,USF2-human,79057,9e23ce47bbd7cb879780a294a61071f8,4450,4450
ENCFF703XCL,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BND,GM12878,ZEB1-human,126057,c995f3a351d3dae8f0775c3eba84f9fe,7619,7619
ENCFF996MFL,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000DZQ,GM12878,EBF1-human,670329,2a6ae1ae9558db612c404a483ba08f34,38808,38808
ENCFF926AKK,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000DZG,GM12878,EP300-human,358373,84451db4ff5d07f36a72061f44800d33,21068,21068
ENCFF303GOQ,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000DZS,GM12878,BRCA1-human,30228,f036889f4ee1332e03f6d9bd307144fc,1552,1552
ENCFF568AZT,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BKA,GM12878,ETS1-human,224244,ca5112bdd32ecd305228f6a3e7f94b77,12912,12912
ENCFF171FMR,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR189YYK,GM12878,ZBTB40-human,328614,fd88be387079bf68dff26ddf2f3cdc74,18023,18023
ENCFF797SDL,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000AKB,GM12878,CTCF-human,666961,23e1af16bf43b8bcce0e034fd8ab2636,41952,41952
ENCFF601WHE,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000DZW,GM12878,RFX5-human,108982,f880bb724a2c733692d05e2d5ba117a0,5827,5827
ENCFF213LSA,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR961PPA,GM12878,ATF2-human,322186,622bd4de4e35bbf374698063aa0ade7f,17564,17564
ENCFF157HQD,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR748SQL,GM12878,PRDM15-human,34823,92eb8ccfa601c06d7d99b42e8547d60d,1772,1772
ENCFF172KBM,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BQL,GM12878,NFATC1-human,229829,20e41e6d0bcc8b8874cc9c7f46ff4de2,12110,12110
ENCFF013QNV,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000DYX,GM12878,SIN3A-human,250433,0380ea746e5cc53031efbbf4da156b55,13401,13401
ENCFF192WNJ,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BHJ,GM12878,PAX5-human,396838,866bbfb6db56f046bf0d0c0226b49277,24349,24349
ENCFF403JIP,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR751CJG,GM12878,CHD4-human,21745,198baf0e4868a5559c8de451c9b27238,1195,1195
ENCFF980SDE,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BRN,GM12878,NFIC-human,654290,156503b1192c93926a313e449ca316d6,36095,36095
ENCFF917XFN,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BHC,GM12878,ZBTB33-human,44993,a5d6470b10207be1ecf56223ca10c8e2,2652,2652
ENCFF114CWH,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BMI,GM12878,SRF-human,219196,f66186a248fbe745c449b86133212671,12132,12132
ENCFF452NTN,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BNQ,GM12878,BCL3-human,365852,618b725311c0cc1805ca7f24bd4ed159,20494,20494
ENCFF038AVV,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BHK,GM12878,SP1-human,257718,fcca7ded01c938e22699c9a4cc127f56,15592,15592
ENCFF934JFA,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BGP,GM12878,POU2F2-human,512492,c89987c4e38ec5fe0887ccdb52463582,27932,27932
ENCFF397YRO,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000DYU,GM12878,SREBF1-human,66927,32cd5d170c18b4048a04c376083f9a53,3498,3498
ENCFF612EIU,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BRG,GM12878,EGR1-human,45153,f51af31298adc4f0dc3297f9f21d00ca,2475,2475
ENCFF063KLF,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BJD,GM12878,RXRA-human,33596,f11ff0c936cd3340797885407c2333c8,2040,2040
ENCFF339YTO,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000ARD,GM12878,EZH2-human,37890,1901baa6a54e23df1171962bd056d935,1913,1913
ENCFF170IZO,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR739IHN,GM12878,TBX21-human,686329,7c3b6ed2e877fe09d55450306e501ed6,40199,40199
ENCFF975LZF,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BGF,GM12878,REST-human,106149,26ac1653222d2089ddc79e50c7bb7c6d,5789,5789
ENCFF951PEM,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000DRZ,GM12878,CTCF-human,663717,525be8908513d453017395a3a3eb46f6,42381,42381
ENCFF432HLX,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000EUJ,GM12878,IKZF1-human,248434,4338c7d975f9d99e3fbfdbad043784c6,13362,13362
ENCFF639KLW,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR347NOB,GM12878,CEBPZ-human,24856,4b94ae9e97ddcf319219d074c3e81ec0,1295,1295
ENCFF277FJJ,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR014YCR,GM12878,ATF7-human,715080,55ca13a2e14b90838faac57fd3d3abb0,41275,41275
ENCFF402DQD,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BGR,GM12878,PBX3-human,222293,53e0ad8a2cb23cd7a4e744e097ac7c44,12587,12587
ENCFF896MPE,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000DYT,GM12878,SREBF2-human,31115,07d5177657808e4aa8f347af97815611,1595,1595
ENCFF637UJN,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BMQ,GM12878,EGR1-human,364268,4b3398f1a9525638dc40f8b371904505,20510,20510
ENCFF663ODL,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR009MBP,GM12878,HSF1-human,49689,fe61248bc4625ca88a38fe0ff88b3902,2546,2546
ENCFF864EON,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR681NOM,GM12878,CEBPB-human,42985,0ad92c484e0e42d145b1290895d8edde,2435,2435
ENCFF029PAA,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000DZV,GM12878,STAT3-human,77215,6b8c2a2a3308bcf920a0aefd7379018b,4271,4271
ENCFF707DWY,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BHB,GM12878,EP300-human,76682,9ceef50e6bbdf0d9113bdbb70a1aee43,4700,4700
ENCFF571DGT,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000EYZ,GM12878,FOS-human,35808,7936abaa01edc683810b9a4de2d78900,2043,2043
ENCFF600LZY,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR412QBS,GM12878,TARDBP-human,385620,fad0cccb286166399cf9746de1884bfc,22130,22130
ENCFF782KRV,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000EUL,GM12878,NR2C2-human,24877,ae062987769fa3596c7e4aa6a03137e2,1281,1281
ENCFF164MPE,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000DZB,GM12878,ELK1-human,134754,47257cc399b9e2aadc6f385b6dcd6caa,7245,7245
ENCFF099PYR,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000DZZ,GM12878,TBP-human,354803,e7d0bfc935ba5453c50d920421b4d90b,19535,19535
ENCFF185BRL,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BJZ,GM12878,BCLAF1-human,373233,3367c349f280ca1026e912ef32afc53b,22202,22202
ENCFF796RRA,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR835XKS,GM12878,TRIM22-human,642011,787904add27f59a4af1712d6892af11b,37377,37377
ENCFF346JDW,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BRI,GM12878,RUNX3-human,1253220,bd42860f9067e3e77f4b9fdf8e4e7abb,70592,70592
ENCFF973FKS,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BQK,GM12878,ATF2-human,477500,3fbcdf35e8c83d557eca5172716f4dee,26225,26225
ENCFF827VVQ,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BHD,GM12878,PAX5-human,384500,21a133c5e81d2ff4cacc8cc14f44fdd4,23841,23841
ENCFF002XEC,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR437GBJ,GM12878,NFATC3-human,475948,a79736d09239335af4a9a370042f39cd,25995,25995
ENCFF068YYR,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BGZ,GM12878,TCF12-human,425740,341da336fa69b2964c41458250111dbd,25023,25023
ENCFF345VPL,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR482TWQ,GM12878,RAD51-human,325959,15a1f77800603e28dccb0b0fd815e2f7,17545,17545
ENCFF744QAC,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000DYY,GM12878,E2F4-human,82772,118bb00dbbce25b22bdb4881167bce4d,4375,4375
ENCFF855UKX,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000EAA,GM12878,WRNIP1-human,83576,659add048ee79eb9737da2ae4f8bfa53,4583,4583
ENCFF596RIT,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR590KEQ,GM12878,ARNT-human,356592,1b6ae8af0a29cc99c895e2cd502a439c,19434,19434
ENCFF151UJT,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR626VUC,GM12878,ETV6-human,371509,c17e4b2ecad7bfd5626f3711d549cb8d,21783,21783
ENCFF242KVU,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BQM,GM12878,PML-human,359652,c0d0211e1fdd6e4b4a829d6c6d9a384d,19498,19498
ENCFF705CGM,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR819ATC,GM12878,MYB-human,68416,1b16672375637a21b3e84f1476e184e6,3523,3523
ENCFF479QQB,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR514VAY,GM12878,HCFC1-human,166233,0eb0e0c56d34cf9ba93564255336c61b,8962,8962
ENCFF093KLR,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR331HPA,GM12878,GABPA-human,257527,11412bed6e2135fce66a1de7da6f4241,13948,13948
ENCFF201RBX,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR936XTK,GM12878,ZNF143-human,535872,13ef6d03ca15765491f1ae48bd0db1c1,29725,29725
ENCFF827JRI,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000DKV,GM12878,CTCF-human,829301,a63064a7119b92f71eaef6bf7d3761fb,51249,51249
ENCFF992IBT,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR974OFJ,GM12878,KLF5-human,192014,dc15cbfb65e6b5e2e9eb66c5563b2395,10039,10039
ENCFF141SMI,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR664POU,GM12878,RELA-human,249121,a3752493583589c7b849b49b379958cc,13486,13486
ENCFF451AII,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000DYR,GM12878,CUX1-human,137557,ac06c81de51c9e1cbc26954bba14e245,7284,7284
ENCFF089YRX,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BGE,GM12878,SRF-human,58874,884468134d07c65aee27cef511240b1b,3119,3119
ENCFF834GOT,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000EAC,GM12878,RAD21-human,576169,0edfbb44ab702e845e4225817f5f0512,34623,34623
ENCFF258UEW,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000EUM,GM12878,YY1-human,38075,1ee615e3ed89c5f93740a2f54552ec45,2015,2015
ENCFF882AEU,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BJY,GM12878,ATF3-human,71669,040bd9343f7a30bef6470a65cdb5ec45,4024,4024
ENCFF785MSW,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000DZX,GM12878,IRF3-human,36162,47abe46fac595052624d1515b3740696,1909,1909
ENCFF895MHN,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BGU,GM12878,EBF1-human,744477,62c5cdd498d2027d029b847f0ab2241a,42055,42055
ENCFF376AEL,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000DZI,GM12878,MXI1-human,394855,626d404caf55e38aa32eb8edb970b975,21737,21737
ENCFF718TWQ,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000DZD,GM12878,EP300-human,351945,da0dd7f0aa0c074d1d3661c1bfb0c208,19537,19537
ENCFF626TYH,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR145XQO,GM12878,HDGF-human,398583,094e190c0d51c8fb63367d04c04bd294,21744,21744
ENCFF446ZSX,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BNP,GM12878,YY1-human,614197,6942c2126255ef3a76a197ec93a3459e,37261,37261
ENCFF847AAV,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR016UEH,GM12878,TARDBP-human,119630,5c9675915722c346ad5d66a0ad28cab4,6412,6412
ENCFF887WLX,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR408JQO,GM12878,IRF3-human,70959,fa5440dbb30c04ec93192388113cb135,3669,3669
ENCFF351VXQ,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000DZR,GM12878,CHD2-human,348232,dddbeafa7154b75f926238811046f9cb,18859,18859
ENCFF134BQO,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000DYS,GM12878,JUND-human,141773,ab9770cdaffca5f3a79b3cee82ef346f,7602,7602
ENCFF467VSF,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000DZA,GM12878,MAZ-human,421606,de016aed3833935ccdf2962b36ae2e0f,23166,23166
ENCFF023QWA,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000EYV,GM12878,JUND-human,36494,77bb2a85b2c6b43b71ae5676742b3ea5,2095,2095
ENCFF753UAX,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR207PFI,GM12878,ZBED1-human,264077,a44595963c0c6889b486715602e2173e,14705,14705
ENCFF519PDZ,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR199WXF,GM12878,EED-human,652333,8509a1c4448805f5e128c5a01282ea87,37641,37641
ENCFF968MBN,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR387QUV,GM12878,RELB-human,789842,4ea1c3b12532ef9a8282db5a37e75cd9,45605,45605
ENCFF488IGF,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR205SKQ,GM12878,YBX1-human,25728,6053d790c8defdc6abe4b2d18ba70b7e,1269,1269
ENCFF511QTQ,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR278SQL,GM12878,NBN-human,667422,f734df61e92da920832cdb3bf0486008,38410,38410
ENCFF146SYU,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BMB,GM12878,ELF1-human,502694,ace1bc6770d0d7a6bc2b203a57072e6b,27369,27369
ENCFF511HZB,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR822AHX,GM12878,IKZF2-human,1002370,0ce35eb189b81c91052e5487abf25f26,53516,53516
ENCFF432PLY,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR041XML,GM12878,SRF-human,326514,4a7fb446d6ebbcfe25517ba79f59a6b7,18489,18489
ENCFF057NHJ,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR746XEG,GM12878,NFXL1-human,90433,cb23bb603bd4072055593a97f33d8893,4847,4847
ENCFF588SBL,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR933EYC,GM12878,HDAC6-human,81525,6a90b39f69e85abeab0a6961f905ea45,4703,4703
ENCFF845VSZ,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR542FLV,GM12878,ZBTB33-human,121296,ee6ef049eaf8ab6e8e940da960098b16,6784,6784
ENCFF879TPT,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR000BGI,GM12878,USF1-human,144751,b0005b1e442bc9a38bc34ad1e7f053f2,8461,8461
ENCFF723ZRN,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR680UQE,GM12878,IKZF2-human,882139,23ae14b94db9a737e2b7954ba880c769,47487,47487
ENCFF844GNV,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR785OKZ,GM12878,RB1-human,305914,a6ceb3947b744eb31a0770fc665010be,16249,16249
ENCFF884QQW,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR177VFS,GM12878,MEF2B-human,728009,bd698cc089132f62702fea9189d128a7,39364,39364
ENCFF531CLQ,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR778UBR,GM12878,ARID3A-human,318227,c9585d49fdab51337c7cabff49d85207,17400,17400
ENCFF485GWN,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR251OVJ,GM12878,SMAD5-human,202501,93b676cc360d2842c6e850fc51f82ff3,11590,11590
ENCFF639XYN,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR861JUQ,GM12878,FOXK2-human,93905,8fd7c812dd4de560a866d9089377c258,5034,5034
ENCFF445XYV,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR987MTA,GM12878,BHLHE40-human,893880,3960306a37a9fb54d9dd99c66ed09df0,49176,49176
ENCFF734BGL,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR859FDL,GM12878,ZNF687-human,583917,d0530174002284f3831ebbbd509873c1,31077,31077
ENCFF828NYA,bed narrowPeak,bed,narrowPeak,IDR thresholded peaks,GRCh38,ENCSR412YGM,GM12878,ZSCAN29-human,103988,b1774d2776de5ba9da94b569fac4eea4,5448,5448
