ELF1,MAX
ELF1,MAZ
ELF1,NRF1
ELF1,PHF8
ELF1,POLR2G
ELF1,RBFOX2
ELF1,TFAP4
ELF1,VEZF1
EP300,GATA2
EP300,HDAC1
EP300,HDAC2
EP300,JUND
EP300,NCOR1
EP300,RCOR1
EP300,RNF2
EP300,SMARCA4
EP300,SMARCE1
EP300,SOX6
EP300,TAL1
EP300,TCF12
EP300,TCF3
EP300,TEAD4
EP300,TRIM24
EP300,ZNF281
EP400,GMEB1
EP400,HDAC1
EP400,JUND
EP400,L3MBTL2
EP400,MAX
EP400,MAZ
EP400,MGA
EP400,MNT
EP400,MTA3
EP400,MYC
EP400,NR2C2
EP400,PHF8
EP400,POLR2G
EP400,RBFOX2
EP400,RNF2
EP400,SMARCA4
EP400,TFAP4
EP400,VEZF1
EP400,ZFX
EP400,ZNF592
ESRRA,NR2F1
FOSL1,JUN
FOSL1,JUNB
GABPB1,MAX
GABPB1,PHF8
GABPB1,POLR2G
GABPB1,RB1
GABPB1,RBFOX2
GABPB1,SP1
GABPB1,SUPT5H
GABPB1,TAF1
GABPB1,TFAP4
GABPB1,TFDP1
GABPB1,ZFX
GATA1,GATA2
GATA1,TAL1
GATA2,KLF16
GATA2,MTA2
GATA2,NCOR1
GATA2,NR2F2
GATA2,SMARCA4
GATA2,STAT5A
GATA2,TAL1
GATA2,TCF12
GATA2,TCF3
GATA2,TEAD4
GMEB1,HDAC1
GMEB1,HDAC2
GMEB1,IKZF1
GMEB1,L3MBTL2
GMEB1,MAX
GMEB1,MAZ
GMEB1,MNT
GMEB1,MTA3
GMEB1,MYC
GMEB1,NR2C2
GMEB1,NRF1
GMEB1,POLR2G
GMEB1,RBFOX2
GMEB1,RNF2
GMEB1,SMARCA4
GMEB1,TFAP4
GMEB1,VEZF1
GMEB1,ZFX
GTF2I,RBM25
GTF2I,ZMYM3
HBP1,OTX1
HBP1,THRB
HDAC1,HDAC2
HDAC1,IKZF1
HDAC1,JUND
HDAC1,L3MBTL2
HDAC1,MAX
HDAC1,MAZ
HDAC1,MNT
HDAC1,MYC
HDAC1,NR2C2
HDAC1,PKNOX1
HDAC1,RBFOX2
HDAC1,RCOR1
HDAC1,RNF2
HDAC1,SMARCA4
HDAC1,SMARCE1
HDAC1,SOX6
HDAC1,TEAD4
HDAC1,TFAP4
HDAC1,VEZF1
HDAC1,ZNF281
HDAC1,MTA3
HDAC1,POLR2G
