,TF1,TF2
291,ELF1,NRF1
292,ELF1,PHF8
293,ELF1,POLR2G
294,ELF1,RBFOX2
295,ELF1,TFAP4
296,ELF1,VEZF1
297,EP300,GATA2
298,EP300,HDAC1
299,EP300,HDAC2
300,EP300,JUND
301,EP300,NCOR1
302,EP300,RCOR1
303,EP300,RNF2
304,EP300,SMARCA4
305,EP300,SMARCE1
306,EP300,SOX6
307,EP300,TAL1
308,EP300,TCF12
309,EP300,TCF3
310,EP300,TEAD4
311,EP300,TRIM24
312,EP300,ZNF281
313,EP400,GMEB1
314,EP400,HDAC1
315,EP400,JUND
316,EP400,L3MBTL2
317,EP400,MAX
318,EP400,MAZ
319,EP400,MGA
320,EP400,MNT
321,EP400,MTA3
322,EP400,MYC
323,EP400,NR2C2
324,EP400,PHF8
325,EP400,POLR2G
326,EP400,RBFOX2
327,EP400,RNF2
328,EP400,SMARCA4
329,EP400,TFAP4
330,EP400,VEZF1
331,EP400,ZFX
332,EP400,ZNF592
333,ESRRA,NR2F1
334,FOSL1,JUN
335,FOSL1,JUNB
336,GABPB1,MAX
337,GABPB1,PHF8
338,GABPB1,POLR2G
339,GABPB1,RB1
340,GABPB1,RBFOX2
341,GABPB1,SP1
342,GABPB1,SUPT5H
343,GABPB1,TAF1
344,GABPB1,TFAP4
346,GABPB1,ZFX
347,GATA1,GATA2
348,GATA1,TAL1
349,GATA2,KLF16
350,GATA2,MTA2
351,GATA2,NCOR1
352,GATA2,NR2F2
353,GATA2,SMARCA4
354,GATA2,STAT5A
355,GATA2,TAL1
356,GATA2,TCF12
357,GATA2,TCF3
358,GATA2,TEAD4
359,GMEB1,HDAC1
360,GMEB1,HDAC2
361,GMEB1,IKZF1
362,GMEB1,L3MBTL2
363,GMEB1,MAX
364,GMEB1,MAZ
365,GMEB1,MNT
366,GMEB1,MTA3
367,GMEB1,MYC
368,GMEB1,NR2C2
369,GMEB1,NRF1
370,GMEB1,POLR2G
371,GMEB1,RBFOX2
372,GMEB1,RNF2
373,GMEB1,SMARCA4
374,GMEB1,TFAP4
375,GMEB1,VEZF1
376,GMEB1,ZFX
382,HDAC1,IKZF1
383,HDAC1,JUND
384,HDAC1,L3MBTL2
385,HDAC1,MAX
386,HDAC1,MAZ
387,HDAC1,MNT
388,HDAC1,MYC
389,HDAC1,NR2C2
390,HDAC1,PKNOX1
391,HDAC1,RBFOX2
392,HDAC1,RCOR1
393,HDAC1,RNF2
394,HDAC1,SMARCA4
397,HDAC1,TEAD4
398,HDAC1,TFAP4
399,HDAC1,VEZF1
400,HDAC1,ZNF281
401,HDAC1,MTA3
402,HDAC1,POLR2G
403,HDAC1,ZFX
404,HDAC1,SAP30
405,HDAC2,IKZF1
407,HDAC2,NCOR1
409,HDAC2,RNF2
410,HDAC2,SMARCA4
411,HDAC2,SMARCE1
412,HDAC2,SOX6
413,HDAC2,TAL1
414,HDAC2,TCF12
415,HDAC2,TCF3
416,HDAC2,TEAD4
417,HDAC2,TRIM24
418,HDAC2,ZNF281
419,IKZF1,NCOR1
420,IKZF1,RNF2
421,IKZF1,SMARCA4
422,IKZF1,SMARCE1
423,IKZF1,SOX6
424,JUN,JUND
425,JUN,JUNB
426,JUND,RCOR1
427,JUND,RNF2
429,JUND,SMARCE1
430,JUND,SOX6
431,JUND,TEAD4
432,JUND,ZNF281
433,JUND,MAX
434,JUND,MAZ
435,JUND,MYC
436,KDM1A,NCOR1
438,KDM1A,SMARCA4
439,KDM5B,PHF8
440,KDM5B,POLR2B
441,KDM5B,POLR2G
442,KDM5B,RBBP5
443,KDM5B,RBFOX2
444,KDM5B,SMAD5
445,KDM5B,SUPT5H
446,KDM5B,TAF1
447,KDM5B,TBP
448,KDM5B,ZFX
450,L3MBTL2,MAZ
452,L3MBTL2,MNT
453,L3MBTL2,MTA3
454,L3MBTL2,MYC
455,L3MBTL2,NR2C2
456,L3MBTL2,NRF1
457,L3MBTL2,POLR2G
458,L3MBTL2,RBFOX2
459,L3MBTL2,RNF2
460,L3MBTL2,SMARCA4
461,L3MBTL2,TFAP4
462,L3MBTL2,VEZF1
463,L3MBTL2,ZFX
473,MAX,MAZ
475,MAX,MNT
476,MAX,MTA3
477,MAX,MYC
478,MAX,NR2C2
479,MAX,NRF1
480,MAX,PHF8
481,MAX,POLR2G
482,MAX,RBFOX2
483,MAX,RCOR1
484,MAX,RNF2
485,MAX,TFAP4
486,MAX,VEZF1
487,MAX,ZFX
488,MAX,TFDP1
489,MAX,YY1
490,MAX,ZNF592
491,MAZ,MTA3
492,MAZ,MYC
493,MAZ,NR2C2
494,MAZ,NRF1
495,MAZ,PHF8
496,MAZ,POLR2G
497,MAZ,RB1
498,MAZ,RBFOX2
499,MAZ,RCOR1
500,MAZ,TFAP4
501,MAZ,VEZF1
502,MAZ,ZFX
503,MAZ,REST
504,MAZ,RNF2
505,MAZ,ZBTB7A
507,MGA,MNT
508,MGA,MYC
509,MGA,RNF2
510,MGA,TFDP1
516,MNT,MYC
517,MNT,NRF1
518,MNT,PHF8
519,MNT,POLR2G
520,MNT,RBFOX2
521,MNT,TFAP4
522,MNT,ZFX
523,MTA2,STAT5A
524,MTA2,TAL1
525,MTA2,TCF12
526,MTA3,MYC
527,MTA3,NRF1
528,MTA3,POLR2G
529,MTA3,RBFOX2
530,MTA3,SMARCA4
531,MTA3,TFAP4
532,MTA3,VEZF1
533,MTA3,ZFX
534,MYC,NR2C2
535,MYC,NRF1
536,MYC,PHF8
537,MYC,POLR2G
538,MYC,RBFOX2
539,MYC,RCOR1
540,MYC,RNF2
541,MYC,TFAP4
542,MYC,VEZF1
543,MYC,ZFX
544,NCOR1,NFIC
545,NCOR1,RCOR1
546,NCOR1,SMARCA4
547,NCOR1,SMARCE1
548,NCOR1,SOX6
549,NCOR1,TAL1
550,NCOR1,TCF12
551,NCOR1,TCF3
552,NCOR1,TEAD4
553,NCOR1,TRIM24
554,NCOR1,ZNF281
560,NR2C2,RBFOX2
561,NR2C2,RNF2
562,NR2C2,TFAP4
563,NR2C2,VEZF1
564,NR2C2,ZFX
565,NR2C2,ZNF592
569,NR2F2,TAL1
570,NR2F2,TCF12
571,NRF1,PHF8
572,NRF1,POLR2G
573,NRF1,RB1
574,NRF1,RBFOX2
575,NRF1,TFAP4
576,NRF1,VEZF1
577,NRF1,YY1
578,NRF1,ZFX
580,PHF8,POLR2G
581,PHF8,RB1
582,PHF8,RBBP5
583,PHF8,RBFOX2
584,PHF8,SMAD5
585,PHF8,SP1
586,PHF8,SUPT5H
587,PHF8,TAF1
588,PHF8,TBP
589,PHF8,TFAP4
590,PHF8,VEZF1
591,PHF8,YY1
592,PHF8,ZBTB11
593,PHF8,ZBTB7A
594,PHF8,ZFX
595,POLR2B,POLR2H
598,POLR2B,TAF1
599,POLR2G,RB1
600,POLR2G,RBBP5
602,POLR2G,SMAD5
603,POLR2G,SP1
605,POLR2G,TAF1
